,pid,name,cpu_percent,memory
264,16083,brave-browser-s,0.0,0.02782571643753176
265,16091,cat,0.0,0.007267539534668404
266,16092,cat,0.0,0.007367094870759751
267,16093,brave,0.0,6.921086965070512
268,16645,brave,0.0,0.7681191956127954
269,16646,brave,0.0,0.7695129703180743
270,16649,gnome-terminal-server,0.0,0.6122653169617902
271,16657,zsh,0.0,0.08342737164454962
272,16663,brave,0.0,0.2147408599490376
273,17134,brave,0.0,2.0616914551157257
274,17140,brave,0.0,1.8790571910561475
275,17168,brave,0.0,0.4901109195777062
276,17637,brave,0.0,1.0114822146880955
277,17649,brave,0.0,2.323770877376199
278,17655,brave,0.0,1.461870555165354
279,17663,brave,0.0,1.5639645523270314
280,17694,jupyter-noteboo,0.0,0.8556283360370903
281,17738,brave,0.0,1.1459814737475067
282,17826,chrome-gnome-sh,0.0,0.3592454302856292
283,18481,brave,0.0,1.832465293765397
284,18786,python3,0.0,0.6023097833526554
285,19758,brave,0.0,0.8437812510422199
286,20870,zsh,0.0,0.08337759397650395
287,21174,sublime_text,0.0,1.4062688999583361
288,21200,plugin_host-3.3,0.0,0.7274508408194799
289,21203,plugin_host-3.8,0.0,0.28736647762767603
290,23332,kworker/1:2-events,0.0,0.0
291,23876,kworker/0:0-events,0.0,0.0
292,24692,kworker/u16:2-i915,0.0,0.0
293,24767,kworker/3:2-events,0.0,0.0
294,24884,kworker/5:1-mm_percpu_wq,0.0,0.0
295,25289,kworker/u16:4+events_unbound,0.0,0.0
296,25605,kworker/2:0-mm_percpu_wq,0.0,0.0
297,25626,kworker/5:2-mm_percpu_wq,0.0,0.0
298,25677,kworker/0:2-events,0.0,0.0
299,25698,kworker/7:0-events,0.0,0.0
300,25745,kworker/6:1-events,0.0,0.0
301,25746,kworker/4:0-events,0.0,0.0
302,25747,kworker/6:3-events,0.0,0.0
303,25763,kworker/u16:0-i915,0.0,0.0
304,25969,kworker/1:0-events,0.0,0.0
305,26013,kworker/u16:1+events_unbound,0.0,0.0
306,26054,kworker/4:1-mm_percpu_wq,0.0,0.0
307,26070,kworker/7:1-mm_percpu_wq,0.0,0.0
308,26100,kworker/3:1-events,0.0,0.0
309,26173,kworker/6:0-events,0.0,0.0
310,26305,kworker/u16:3,0.0,0.0
311,26366,brave,0.0,1.6894042758021297
312,26419,brave,0.0,0.6877780393870776
313,26420,brave,0.0,1.074799408442193
314,26449,kworker/3:0-events,0.0,0.0
